,type,name,author,event,year
0,j,Higher-order Recursion Schemes and Collapsible Pushdown Automata: Logical Properties.,"['Christopher H. Broadbent', 'Arnaud Carayol', 'C.-H. Luke Ong', 'Olivier Serre']",ACM Trans. Comput. Log.,2021
1,j,Collapsible Pushdown Parity Games.,"['Christopher H. Broadbent', 'Arnaud Carayol', 'Matthew Hague', 'Andrzej S. Murawski', 'C.-H. Luke Ong', 'Olivier Serre']",ACM Trans. Comput. Log.,2021
2,j,"ML, Visibly Pushdown Class Memory Automata, and Extended Branching Vector Addition Systems with States.","['Conrad Cotton-Barratt', 'Andrzej S. Murawski', 'C.-H. Luke Ong']",ACM Trans. Program. Lang. Syst.,2019
3,j,The complexity of decision problems about equilibria in two-player Boolean games.,"['Egor Ianovski', 'Luke Ong']",Artif. Intell.,2018
4,j,Simulating cardinal preferences in Boolean games: A proof technique.,"['Egor Ianovski', 'Luke Ong']",Inf. Comput.,2018
5,j,Higher-order constrained horn clauses for verification.,"['Toby Cathcart Burn', 'C.-H. Luke Ong', 'Steven J. Ramsay']",Proc. ACM Program. Lang.,2018
6,j,Collapsible Pushdown Automata and Recursion Schemes.,"['Matthew Hague', 'Andrzej S. Murawski', 'C.-H. Luke Ong', 'Olivier Serre']",ACM Trans. Comput. Log.,2017
7,j,Information flow analysis for a dynamically typed language with staged metaprogramming.,"['Martin Mariusz Lester', 'Luke Ong', 'Max Schäfer']",J. Comput. Secur.,2016
8,j,"Logic, Language, Information and Computation (WoLLIC 2012).","['C.-H. Luke Ong', 'Ruy J. G. B. de Queiroz']",Theor. Comput. Sci.,2015
9,j,Complexity of Model Checking Recursion Schemes for Fragments of the Modal Mu-Calculus.,"['Naoki Kobayashi', 'C.-H. Luke Ong']",Log. Methods Comput. Sci.,2011
10,j,A saturation method for the modal μ-calculus over pushdown systems.,"['Matthew Hague', 'C.-H. Luke Ong']",Inf. Comput.,2011
11,j,The Safe Lambda Calculus.,"['William Blum', 'C.-H. Luke Ong']",Log. Methods Comput. Sci.,2009
12,j,Symbolic Backwards-Reachability Analysis for Higher-Order Pushdown Systems.,"['Matthew Hague', 'C.-H. Luke Ong']",Log. Methods Comput. Sci.,2008
13,j,Syntactic control of concurrency.,"['Dan R. Ghica', 'Andrzej S. Murawski', 'C.-H. Luke Ong']",Theor. Comput. Sci.,2006
14,j,Fast verification of MLL proof nets via IMLL.,"['Andrzej S. Murawski', 'C.-H. Luke Ong']",ACM Trans. Comput. Log.,2006
15,j,An approach to deciding the observational equivalence of Algol-like languages.,['C.-H. Luke Ong'],Ann. Pure Appl. Log.,2004
16,j,Games characterizing Levy-Longo trees.,"['C.-H. Luke Ong', 'Pietro Di Gianantonio']",Theor. Comput. Sci.,2004
17,j,On an interpretation of safe recursion in light affine logic.,"['Andrzej S. Murawski', 'C.-H. Luke Ong']",Theor. Comput. Sci.,2004
18,j,"Exhausting strategies, joker games and full completeness for IMLL with Unit.","['Andrzej S. Murawski', 'C.-H. Luke Ong']",Theor. Comput. Sci.,2003
19,j,Adapting innocent game models for the Böhm treelambda -theory.,"['Andrew D. Ker', 'Hanno Nickau', 'C.-H. Luke Ong']",Theor. Comput. Sci.,2003
20,j,Innocent game models of untyped lambda-calculus.,"['Andrew D. Ker', 'Hanno Nickau', 'C.-H. Luke Ong']",Theor. Comput. Sci.,2002
21,j,"On Full Abstraction for PCF: I, II, and III.","['J. M. E. Hyland', 'C.-H. Luke Ong']",Inf. Comput.,2000
22,j,Full Abstraction in the Lazy Lambda Calculus.,"['Samson Abramsky', 'C.-H. Luke Ong']",Inf. Comput.,1993
23,c,Nonparametric Involutive Markov Chain Monte Carlo.,"['Carol Mak', 'Fabian Zaiser', 'Luke Ong']",ICML,2022
24,c,Probabilistic Verification Beyond Context-Freeness.,"['Guanyan Li', 'Andrzej S. Murawski', 'Luke Ong']",LICS,2022
25,c,CycleQ: an efficient basis for cyclic equational reasoning.,"['Eddie Jones', 'C.-H. Luke Ong', 'Steven J. Ramsay']",PLDI,2022
26,c,Guaranteed bounds for posterior inference in universal probabilistic programming.,"['Raven Beutner', 'C.-H. Luke Ong', 'Fabian Zaiser']",PLDI,2022
27,c,Expectation programming: Adapting probabilistic programming systems to estimate expectations efficiently.,"['Tim Reichelt', 'Adam Golinski', 'Luke Ong', 'Tom Rainforth']",UAI,2022
